startupID,startupName,ICBindustry,ICBsector,accelaratorResult,accelerator,accleratorDate,businessModel,,description,equityValuation,foundedDate,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,dealInvestmentAmount,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,startupClassification,stageClassification,startupStatus,state,city,founderName,website,Lat,Lon,Old value
YNOS0329,BLUEGAPE,Technology,Software & Computer Services,,,,B2B,,Bluegape Lifestyle operates Murmur App which is an online fan merchandise and customization platform.,,2015-01-01,['Enterprise Software'],,,,,[''],,['Online fan merchandise and customization platform'],[''],,[Timestamp('2015-04-04 00:00:00')],[12.83049651],,,,TrakIn,['Software and Internet Services'],['Pre-Seed'],Angel investment,Delhi,New Delhi,['Sahil Baghla'],http://www.bluegape.com,28.526592,77.290169,New Delhi
YNOS0331,BLUEGAPE LIFESTYLE,Technology,Software & Computer Services,,,,B2B,,Bluegape Lifestyle operates Murmur App which is an online fan merchandise and customization platform.,,2015-01-01,['Enterprise Software'],,,,,[''],,['Online fan merchandise and customization platform'],"['', 'https://in.linkedin.com/in/harmindersahni', '', '', '', 'https://in.linkedin.com/in/bhupendra-n-shah-bhupendra-n-shah-b80a6055', 'https://in.linkedin.com/in/bhupendra-n-shah-bhupendra-n-shah-b80a6055']",,"[Timestamp('2014-03-07 00:00:00'), Timestamp('2014-03-07 00:00:00'), Timestamp('2014-03-07 00:00:00'), Timestamp('2014-03-07 00:00:00'), Timestamp('2014-03-07 00:00:00'), Timestamp('2015-03-01 00:00:00'), Timestamp('2015-03-01 00:00:00')]","[23.80074301, 23.80074301, 23.80074301, 36.61652771, 23.80074301, 19.24574477, 25.0194682]",,,,VCC,['Software and Internet Services'],"['Pre-Seed', 'Pre-Seed', 'Pre-Seed', 'Seed', 'Pre-Seed', 'Pre-Seed', 'Pre-Seed']",Angel investment,Delhi,New Delhi,['Sahil Baghla'],http://bluegape.com,28.526592,77.290169,New Delhi
YNOS0332,BLUEGAPE.COM,Technology,Software & Computer Services,,,,B2B,,Bluegape Lifestyle operates Murmur App which is an online fan merchandise and customization platform.,,2015-01-01,['Enterprise Software'],,,,,[''],,['Online fan merchandise and customization platform'],[''],,[Timestamp('2015-08-20 00:00:00')],[38.49148954],,,,TrakIn,['Software and Internet Services'],['Seed'],Angel investment,Delhi,New Delhi,['Sahil Baghla'],,28.526592,77.290169,New Delhi
YNOS0334,BLUESTONE JEWELLERY AND LIFESTYLE,Consumer Goods,personal and household goods,,,,B2C,,Bluestone is an online retailer where users can purchase a variety of jewelry.,[1382.2739210000002],2011-01-01,['Personal Products'],,,,['Series B'],['RATAN NAVAL TATA'],['Angel'],['Online jewellery retailer'],[''],[''],[Timestamp('2014-03-11 00:00:00')],[429.6339252],,,,VCC,['Consumer Products and Services'],['Series B'],,Karnataka,Bengaluru,"['VIDYA NATARAJ', 'GAURAV KUSHWAHA']",http://www.bluestone.com,13.094454,77.586014,Bengaluru
YNOS0336,BODHI HEALTH EDUCATION,Healthcare,Healthcare,,,,B2C,,Bodhi Health Education has been formed with the mission of “Providing quality medical education.” They feel that healthcare in India can be significantly improved if they can improve the knowledge and awareness among health professionals and community health workers.,,2015-01-01,"['Traditional medical systems', 'Medical education']",,,,,[''],,['Medical education providers'],"['', '']",,"[Timestamp('2015-04-24 00:00:00'), Timestamp('2015-04-24 00:00:00')]","[3.2076241289999996, 7.0567730829999995]",,,,VCC,['Health-Tech'],"['Pre-Seed', 'Pre-Seed']",Angel investment,Haryana,Gurgaon,"['Abhinav Girdhar', 'Shrutika Girdhar']",http://www.bodhihealthedu.org,28.457523,77.026344,Gurgaon
YNOS0338,BOIBANIT,Consumer Goods,Food and beverage,,,,B2C,,Boibanit is a Food ordering marketplace,"['', '']",2014-01-01,['Food Products'],,,,"['Seed Funding', 'Seed Funding']","['ANUBHAV VERMA', 'VARUN AHUJA']","['Angel', 'Angel']",['Food ordering market place'],"['https://www.linkedin.com/in/anubhav-verma-b4163aa', '']","[4.8114361930000005, 4.8114361930000005]","[Timestamp('2015-11-03 00:00:00'), Timestamp('2015-11-03 00:00:00')]","[9.622872386000001, 9.622872386000001]",,,,TrakIn,['Hyperlocal and Logistics'],"['Pre-Seed', 'Pre-Seed']",Angel investment,Uttar Pradesh,Allahabad,"['Abhiudaya Parihar', 'Arunabh Parihar']",,,,Allahabad
YNOS0339,BOLLANT INDUSTRIES,Industrials,Industrial goods and services,,,,B2B,,Bollant produces eco-friendly disposable products and packaging solutions for manufacturers out of the natural leaf and recycled paper.,[''],2012-01-01,['Waste & Disposal Services'],,,,['Seed'],['RATAN NAVAL TATA'],['Angel'],['Eco-friendly disposable products producers'],[''],[''],[Timestamp('2016-02-15 00:00:00')],[''],,,,VCC,['Industrial and Business Products and Services'],[''],,Andhra Pradesh,Hyderabad,['SRIKANTH BOLLA'],http://www.bollant.com,17.437462,78.448288,Hyderabad
YNOS0341,CABSGURU,,,,,,,,,[''],,[],,,,['Seed Funding'],['PRASHANTH RANGANATHAN'],['Angel'],[],[''],[12.83049651],[Timestamp('2015-12-14 00:00:00')],[12.83049651],,,,TrakIn,[],['Pre-Seed'],,Delhi,New Delhi,"['VIKASH SINGH', 'PULKIT AHUJA']",http://cabsguru.com/,28.526592,77.290169,New Delhi
YNOS0342,CAKART.IN,,,,,,,,,[''],,[],,,,['Seed Funding'],['SUNIL MAHESHWARI'],['Angel'],[],[''],[''],[Timestamp('2015-06-18 00:00:00')],[''],,,,TrakIn,[],[''],,Karnataka,Bengaluru,[],,,,
YNOS0344,CAMPUS DIARIES MEDIA AND COMMUNICATIONS,,,,,,,,,"['', '', '']",2012-01-01,[],,,,"['Venture Capital', 'Series A', 'Series A']","['KSHITIJ SHAH', 'MOHANDAS PAI', 'RAVI MANTHA']","['Angel', 'Angel', 'Angel']",[],"['https://www.linkedin.com/in/kshitij-shah-7516a88', '', '']","['', '', '']","[Timestamp('2015-12-28 00:00:00'), Timestamp('2016-01-22 00:00:00'), Timestamp('2016-01-22 00:00:00')]","['', 14.78965435, 14.78965435]",,,,VCC,[],"['', 'Pre-Seed', 'Pre-Seed']",,Karnataka,Bengaluru,[],http://www.campusdiaries.com,,,
YNOS0348,CANVS,Consumer Services,Retail,,,,B2C,,Canvs is a community of designers and artists in India. It is created to make things simpler in the creative fields to allow people to know each other make a living out of it and grow it better than any other intellectual community in India.,,2010-01-01,['Connect to Professionals'],,,,,['PRATIK SEAL'],,['Community of designers and artists'],,,"[Timestamp('2016-09-01 00:00:00'), '', '']","['', '', '']","[1.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Social Platforms'],,Angel investment,Maharashtra,Mumbai,[],,19.180874,72.857452,Mumbai
YNOS0349,CAPABILITI,,,,,,,,,"['', '']",,[],,,,"['Seed Funding', 'Seed Funding']","['GIRISH MATRUBOOTHAM', 'KUNAL BAHL']","['Angel', 'Angel']",[],"['https://angel.co/mrgirish', '']","['', '']","[Timestamp('2015-09-24 00:00:00'), Timestamp('2015-09-24 00:00:00')]","[25.66099303, 25.66099303]",,,,TrakIn,[],"['Pre-Seed', 'Pre-Seed']",,,,"['SACHIN GROVER', 'MRIGANK TRIPATHI']",http://www.qustn.com,,,Palo Alto
YNOS0351,CAPER,Consumer Goods,personal and household goods,,,,B2C,,Caper is an exciting grocery delivery start up bringing the best produce from the neighbourhood to your door on demand.,,,['Online Grocery'],,,,,"['KALPATARU VENTURES,CHENNAI ANGELS']",,"['Grocery delivery', 'Delivery solutions']",,,"[Timestamp('2015-09-01 00:00:00'), '', '']","['', '', '']","['', '', '']","['Venture capital', '', '']","['', '', '']",VI,['Hyperlocal and Logistics'],,VC Funded,,,[],,,,
YNOS0353,CAPRIA ACCELERATOR,Financials,Financial services,,,,B2B,,"Provide tools, training, connections, fundraising support and seed funding to new impact fund managers.","['', '']",2015-01-01,['Alternative Funding Platforms'],,,,"['Seed', 'Seed']","['BILL GATES', 'MOHANDAS PAI']","['Angel', 'Angel']","['Seed funding', 'Fundraising support']","['http://www.forbes.com/sites/kerryadolan/2016/12/12/bill-gates-launches-1-billion-breakthrough-energy-investment-fund/', '']","['', '']","[Timestamp('2016-02-04 00:00:00'), Timestamp('2016-02-04 00:00:00')]","['', '']",,,,VCC,['Fin-Tech and Payments'],"['', '']",Angel investment,,,[],http://capria.vc,,,
YNOS0354,CAPRICOAST HOME SOLUTIONS,Consumer Services,Retail,,,,B2C,,Start-up that do home interior design to kitchens pre-customized for project-specific floor plans,[179.39048190000003],2014-01-01,['Home and furniture'],,,,['Seed'],['VENK KRISHNAN'],['Angel'],['Interior designing'],[''],[''],[Timestamp('2015-02-19 00:00:00')],[56.45418466],,,,VCC,['Internet marketplace and e-commerce'],['Seed'],Angel investment,Karnataka,Bengaluru,['Jawad Ayaz'],http://www.capricoast.com,13.094454,77.586014,Bengaluru
YNOS0355,CARAVAN CRAFT,,,,,,,,,"['', '']",,[],,,,"['Private Equity', 'Private Equity']","['BIJOU KURIEN', 'NARAYAN RAMACHANDRAN']","['Angel', 'Angel']",[],"['http://www.business-standard.com/article/companies/retail-veteran-bijou-kurien-joins-l-capital-1140605002521.html', '']","['', '']","[Timestamp('2015-11-21 00:00:00'), Timestamp('2015-11-21 00:00:00')]","[76.98297909, 76.98297909]",,,,TrakIn,[],"['Seed', 'Seed']",,,,[],,,,
YNOS0356,CARAVAN CRAFT RETAIL,,,,,,,,,"['', '']",,[],,,,"['Seed Funding', 'Seed Funding']","['BIJOU KURIEN', 'NARAYAN RAMACHANDRAN']","['Angel', 'Angel']",[],"['http://www.business-standard.com/article/companies/retail-veteran-bijou-kurien-joins-l-capital-1140605002521.html', '']","['', '']","[Timestamp('2015-02-24 00:00:00'), Timestamp('2015-02-24 00:00:00')]","[32.07624129, 32.07624129]",,,,TrakIn,[],"['Pre-Seed', 'Pre-Seed']",,,,[],,,,
YNOS0357,CARAVAN EVOLVED CRAFT,,,,,,,,,"['', '']",2008-01-01,[],,,,"['Seed', 'Seed']","['BIJOU KURIEN', 'RAMACHANDRAN VISHWANATHAN NARAYAN']","['Angel', 'Angel']",[],"['http://www.business-standard.com/article/companies/retail-veteran-bijou-kurien-joins-l-capital-1140605002521.html', '']","['', '']","[Timestamp('2015-02-24 00:00:00'), Timestamp('2015-02-24 00:00:00')]","[30.79319163, 30.79319163]",,,,VCC,[],"['Pre-Seed', 'Pre-Seed']",,,,[],http://caravancraft.com,,,
YNOS0358,CARDBACK,Financials,Financial services,,,,B2C,,Cardback is a payment recommendation platform that helps credit debit prepaid cardholders save smart every time they pay.,,2013-01-01,['Payments and Wallet'],,,,,"['SUNIL KALRA,RAJAN ANANDAN,OTHERS']",,['Card payment'],,,"[Timestamp('2014-07-01 00:00:00'), '', '']","[1.0, '', '']","[3.0, '', '']","['Angel investors', '', '']","['', '', '']",VI,['Fin-Tech and Payments'],,Angel investment,New Delhi,New Delhi,"['NIDHI GURNANI', 'NIKHIL WASON']",http://cardback.in,28.526592,77.290169,New Delhi
YNOS0361,CAREERSTACK INNOVATIONS,Industrials,Industrial goods and services,,,,B2B,,"CareerStack Innovations Pvt. Ltd. operates HackerEarth Recruit, a cloud-based online recruitment solution for technical hiring needs. Its platform enables companies to hire developers and programmers by putting up online programming tests across various programming languages and platforms.",,2014-01-01,"['Business Support Services', 'Cloud Infrastructure']",,,,,[''],,['Cloud-based online recruitment solution for technical hiring needs'],"['', '', '', '', 'https://in.linkedin.com/in/harishbahl', '', '', '', '', '', '', '', '', '', '', '']",,"[Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00'), Timestamp('2014-02-27 00:00:00')]","[1.830826386, '', 1.830826386, '', '', 1.830826386, '', 1.830826386, '', 1.830826386, '', '', 1.830826386, '', 1.830826386, '']",,,,VCC,"['Industrial and Business Products and Services', 'Software and Internet Services']","['Pre-Seed', '', 'Pre-Seed', '', '', 'Pre-Seed', '', 'Pre-Seed', '', 'Pre-Seed', '', '', 'Pre-Seed', '', 'Pre-Seed', '']",Angel investment,Karnataka,Bengaluru,['Ankit Appaiah'],http://www.hackerearth.com,13.094454,77.586014,Bengaluru
YNOS0362,CAREONGO,Healthcare,Healthcare,,,,B2B,,CareOnGo is India's first Mobile chain of Co-Branded Pharmacy stores. It offers services across preventive care.,,2015-01-01,['Diagnostics'],,,,,"['KONGLO VENTURES,SINGAPORE ANGEL NETWORK,ANUPAM MITTAL', 'FAROOQ OOMERBHOY']",,['Preventive diagnostics'],,,"[Timestamp('2016-02-01 00:00:00'), Timestamp('2016-04-01 00:00:00'), '']","[2.0, '', '']","[1.0, '', '']","['Angel investors', 'Venture Capital', '']","['', '', '']",VI,['Health-Tech'],,VC Funded,New Delhi,New Delhi,"['YOGESH AGARWAL', 'ADITYA KANDOI', 'RITU SINGH']",http://www.careongo.com,28.526592,77.290169,New Delhi
YNOS0363,CARESSA SOLUTIONS,,,,,,,,,"['', '', '']",2011-01-01,[],,,,"['Seed', 'Seed', 'Seed']","['ANIRUDDHA MALPANI', 'HETAL SONPAL', 'PRASHANT GIRISH CHOKSEY']","['Angel', 'Angel', 'Angel']",[],"['', 'https://in.linkedin.com/in/hetalsonpal', '']","['', '', '']","[Timestamp('2015-06-02 00:00:00'), Timestamp('2015-06-02 00:00:00'), Timestamp('2015-06-02 00:00:00')]","[22.453368899999997, 22.453368899999997, 22.453368899999997]",,,,VCC,[],"['Pre-Seed', 'Pre-Seed', 'Pre-Seed']",,,,[],http://www.allizhealth.com,,,
YNOS0366,CARTHERO TECHNOLOGIES,Industrials,Industrial goods and services,,,,B2B,,"They operates a B2B platform that enables businesses to deliver goods to their customers. It also offers a mobile application to order goods. It serves businesses across food and beverage, laundry, grocery, E-commerce, etc.",[171.2871285],2015-01-01,"['Business Support Services', 'Customer service for business', 'Delivery services and logistics']",,,,['Seed'],['ADIT PAREKH'],['Angel'],['Logistics service for business'],['https://in.linkedin.com/in/aditparekh'],[''],[Timestamp('2015-04-27 00:00:00')],[50.03893641],,,,VCC,"['Industrial and Business Products and Services', 'Hyperlocal and Logistics']",['Seed'],Angel investment,Karnataka,Bengaluru,"['Arpit Dave', 'Mohit Kumar']",https://runnr.in,13.094454,77.586014,Bengaluru
YNOS0367,CARTISAN,Consumer Services,Retail,,,,B2B2C,,"Cartisan helps car owners find the nearest, best value and quality car service providers and easily make bookings from car washes to regular maintenance and more.",[''],,['Booking'],,,,['Seed Funding'],['APRAMEYA RADHAKRISHNA'],['Angel'],['Booking - car service'],[''],[''],[Timestamp('2015-07-30 00:00:00')],[''],,,,TrakIn,['Internet marketplace and e-commerce'],[''],Angel investment,Karnataka,Bengaluru,"['Rajat Patni', 'Venkat Sreeram', 'Sharath Murthy']",,13.094454,77.586014,Bengaluru
YNOS0368,CARTRADE.COM,,,,,,,,,[''],,[],,,,['Private Equity'],['CHIP PERRY'],['Angel'],[],['http://www.indiainfoline.com/article/news-top-story/cartrade-com-finds-an-investor-in-chip-perry-1150210000161.html'],[''],[Timestamp('2015-02-10 00:00:00')],[''],,,,TrakIn,[],[''],,,,[],,,,
YNOS0369,CARVENICHE TECHNOLOGIES,Technology,Software & Computer Services,,,,B2C,,CarveNiche is an education technology company that offers products and services for K-12 education.,,2010-01-01,['Educational products and Services'],,,,,['LEAD ANGELS'],,['Educational products and services'],,,"[Timestamp('2015-04-01 00:00:00'), '', '']","['', '', '']","['', '', '']","['Angel forums', '', '']","['', '', '']",VI,['Edu-Tech'],,Angel investment,Karnataka,Bengaluru,"['AVNEET MAKKAR', 'SARASWATHY A']",http://carveniche.com/,13.094454,77.586014,Bengaluru
YNOS0371,CASA2 STAYS,,,,,,,,,"[7.698297909, '']",2012-01-01,[],,,,"['Seed', 'Series A']","['ANUPAM GOPAL MITTAL', 'MOHANDAS PAI']","['Angel', 'Angel']",[],"['', '']","['', '']","[Timestamp('2015-05-31 00:00:00'), Timestamp('2016-01-29 00:00:00')]","['', 537.8056128]",,,,VCC,[],"['', 'Series B']",,,,[],http://www.casa2inns.com,,,
